,Date,a,p,v,Alpha Counts
0,2024-01-01,0.9436081933535738,0.001568059269424,0.6148019922657372,2.8258753123068714
1,2024-01-02,0.9433397496232232,0.0014020869725359,0.6125530116487069,2.8269360774124572
2,2024-01-03,0.9430156639364808,0.0012677693891524,0.6100887471155695,2.828098472352156
3,2024-01-04,0.9427090168232944,0.0011105002485105,0.6074283733973497,2.8293628176214423
4,2024-01-05,0.9423981946896456,0.0009710259071992,0.6045592269216772,2.8307400354667402
5,2024-01-06,0.9420747865256992,0.0008325335530373,0.6014869723740824,2.832230387768246
6,2024-01-07,0.941713624168439,0.0006928937473039,0.5982247424589942,2.8338301028309276
7,2024-01-08,0.941339496128332,0.000540884967399,0.594780286296676,2.8355402383980297
8,2024-01-09,0.9409979516084048,0.0004260315058801,0.5911141031880877,2.837372082833328
9,2024-01-10,0.9405928628242324,0.0002957696656815,0.5872926119118298,2.8392699497879543
10,2024-01-11,0.9345106260151176,0.0022006387946298,0.5856950892457056,2.8395216139088757
11,2024-01-12,0.9341246422475996,0.0020697188595361,0.5814927014136297,2.8415617053420426
12,2024-01-13,0.9337769741851388,0.0019352888628629,0.5771030710777248,2.8436787162933714
13,2024-01-14,0.9334298406723944,0.0018170477407398,0.5725487265500974,2.8458982405228825
14,2024-01-15,0.9330764260429818,0.0017013496410308,0.5678103982371395,2.8482478819407944
15,2024-01-16,0.9327340679975435,0.0015861299063858,0.5629127468705815,2.8507257631459297
16,2024-01-17,0.932467115350446,0.0014828874170784,0.5578274117141268,2.8533616147359964
17,2024-01-18,0.9263580605221856,-0.0007069168423153,0.5551983510979045,2.8535999036254567
18,2024-01-19,0.9261232203824912,-0.0007880363725284,0.5498087054515364,2.856365549566995
19,2024-01-20,0.9258700766221568,-0.0009054325759683,0.5442521705675588,2.859307906810662
20,2024-01-21,0.919744276054172,0.0010998636284826,0.5412640157056239,2.8595899053280487
21,2024-01-22,0.9195413825345202,0.0010027537591823,0.535414622593657,2.862728483163187
22,2024-01-23,0.9193561305401882,0.0009159994048324,0.5294318029855122,2.8660476185259935
23,2024-01-24,0.9192316411631244,0.0008322831001385,0.5232972506695082,2.869533906205485
24,2024-01-25,0.9191382597438272,0.0007647600775989,0.5170184097032926,2.8731712612754063
25,2024-01-26,0.9190419347716808,0.0006956844816351,0.5106171827837672,2.8769440527087164
26,2024-01-27,0.9190143510248702,0.0006364930914871,0.5040500606364797,2.880897052253951
27,2024-01-28,0.918998990718468,0.000579162029583,0.4973559716895334,2.8849937572161677
28,2024-01-29,0.9190408699703309,0.0005458529736598,0.4905588076385188,2.8892369817363655
29,2024-01-30,0.9132904458506574,0.0026024063940685,0.4864780454857537,2.8900851105924343
30,2024-01-31,0.9133891043613596,0.0025480781005172,0.4794364733651802,2.894600906291194
31,2024-02-01,0.9135388457398496,0.0024998762707004,0.4722717704787892,2.8993737650117506
32,2024-02-02,0.9136898842596122,0.0024682777776706,0.4649804692968011,2.904355896861955
33,2024-02-03,0.9080289005248292,0.0002840051780152,0.4606018301163995,2.905510104288881
34,2024-02-04,0.9083047121936968,0.0002837521789464,0.453111241833413,2.91065214938646
35,2024-02-05,0.908610533661112,0.0002446182692373,0.445484485345507,2.9160576166533474
36,2024-02-06,0.9089667129241036,0.0002510790770473,0.4377553669762714,2.9217326652268074
37,2024-02-07,0.9093937468696172,0.0002574620140056,0.4299449398579555,2.927613890903738
38,2024-02-08,0.9039876706324376,0.0023871639979315,0.425154152642411,2.92942849270452
39,2024-02-09,0.904431060884416,0.0023931353263909,0.4171582598552814,2.935580402742631
