,Date,a,p,v
0,2024-01-01,0.9436081933535738,0.00156805926942403,0.6148019922657372
1,2024-01-02,0.9433397496232232,0.0014020869725359184,0.6125530116487069
2,2024-01-03,0.9430156639364807,0.0012677693891524583,0.6100887471155695
3,2024-01-04,0.9427090168232944,0.0011105002485105237,0.6074283733973497
4,2024-01-05,0.9423981946896455,0.000971025907199243,0.6045592269216772
5,2024-01-06,0.9420747865256991,0.0008325335530373418,0.6014869723740824
6,2024-01-07,0.941713624168439,0.0006928937473039394,0.5982247424589942
7,2024-01-08,0.9413394961283321,0.0005408849673990054,0.594780286296676
8,2024-01-09,0.9409979516084048,0.000426031505880167,0.5911141031880877
9,2024-01-10,0.9405928628242323,0.0002957696656815311,0.5872926119118298
10,2024-01-11,0.9345106260151176,0.0022006387946298164,0.5856950892457056
11,2024-01-12,0.9341246422475995,0.002069718859536162,0.5814927014136297
12,2024-01-13,0.9337769741851387,0.0019352888628629652,0.5771030710777248
13,2024-01-14,0.9334298406723945,0.001817047740739896,0.5725487265500974
14,2024-01-15,0.9330764260429818,0.0017013496410308979,0.5678103982371395
15,2024-01-16,0.9327340679975435,0.0015861299063858383,0.5629127468705815
16,2024-01-17,0.932467115350446,0.0014828874170784443,0.5578274117141268
17,2024-01-18,0.9263580605221856,-0.0007069168423153214,0.5551983510979045
18,2024-01-19,0.9261232203824912,-0.0007880363725284806,0.5498087054515364
19,2024-01-20,0.9258700766221567,-0.0009054325759683667,0.5442521705675588
20,2024-01-21,0.9197442760541719,0.0010998636284826316,0.5412640157056239
21,2024-01-22,0.9195413825345202,0.0010027537591823777,0.535414622593657
22,2024-01-23,0.9193561305401882,0.0009159994048324242,0.5294318029855122
23,2024-01-24,0.9192316411631245,0.000832283100138565,0.5232972506695082
24,2024-01-25,0.9191382597438271,0.0007647600775989138,0.5170184097032926
25,2024-01-26,0.9190419347716807,0.0006956844816351925,0.5106171827837672
26,2024-01-27,0.9190143510248702,0.0006364930914871916,0.5040500606364797
27,2024-01-28,0.9189989907184679,0.0005791620295830662,0.4973559716895334
28,2024-01-29,0.9190408699703307,0.0005458529736598212,0.4905588076385188
29,2024-01-30,0.9132904458506574,0.002602406394068566,0.48647804548575374
30,2024-01-31,0.9133891043613596,0.002548078100517271,0.4794364733651802
31,2024-02-01,0.9135388457398496,0.0024998762707004246,0.4722717704787892
32,2024-02-02,0.9136898842596122,0.0024682777776706983,0.46498046929680115
33,2024-02-03,0.9080289005248292,0.0002840051780152942,0.46060183011639955
34,2024-02-04,0.9083047121936967,0.0002837521789464712,0.45311124183341306
35,2024-02-05,0.908610533661112,0.0002446182692373793,0.44548448534550705
36,2024-02-06,0.9089667129241036,0.00025107907704731696,0.43775536697627143
37,2024-02-07,0.9093937468696172,0.0002574620140056834,0.42994493985795557
38,2024-02-08,0.9039876706324377,0.0023871639979315745,0.425154152642411
39,2024-02-09,0.9044310608844159,0.0023931353263909067,0.4171582598552814
40,2024-02-10,0.9049344005120648,0.0023948899931940538,0.40907628129616114
41,2024-02-11,0.905557857053859,0.002417731173449574,0.40084950091568977
42,2024-02-12,0.9061529665519156,0.002415018779631909,0.39255697041815435
43,2024-02-13,0.9009380243897367,0.00024243152922968412,0.3874861133486295
44,2024-02-14,0.9016178606271581,0.0002960794628790219,0.3790568340353087
45,2024-02-15,0.9023992564416022,0.0003230439233628158,0.37052996879942107
46,2024-02-16,0.9031536115531908,0.0003794309647502414,0.36193523037042336
47,2024-02-17,0.8981295481275473,0.0025648391957456738,0.356644774302614
48,2024-02-18,0.8990213744379342,0.0026225619567587324,0.34789543825349517
49,2024-02-19,0.8999907904805607,0.002668822921023881,0.3390745397945171
50,2024-02-20,0.9009491473388257,0.0027134023520458965,0.3301787567010617
51,2024-02-21,0.896037720827934,0.0005792005773421683,0.3247644776105188
52,2024-02-22,0.8971403255197307,0.0006379466057311543,0.31572320254769837
53,2024-02-23,0.8982676793303649,0.0007285491817145379,0.3066482945827854
54,2024-02-24,0.899399054836554,0.0007898129547422177,0.2975235397578557
55,2024-02-25,0.9005969319622016,0.0008874625514097272,0.2883374582491858
56,2024-02-26,0.8959982090185826,0.003131186599619813,0.282692048810994
57,2024-02-27,0.8972945664140988,0.0032077978115048725,0.2733858284358572
58,2024-02-28,0.898649032954722,0.0032657269841472616,0.26402446729229034
59,2024-02-29,0.8940132510173301,0.0011845911347268306,0.2584232751451874
60,2024-03-01,0.895410221337568,0.0012950213552977146,0.24900258319019647
61,2024-03-02,0.8968765622976488,0.0013859484631280614,0.2395051761822835
62,2024-03-03,0.8983987442737903,0.0014852925060352617,0.2299688235800519
63,2024-03-04,0.899986455116628,0.001563412958368877,0.2203638357026127
64,2024-03-05,0.9015333920236458,0.001694343947263365,0.21076744714287693
65,2024-03-06,0.9031593462832028,0.0017826543225150768,0.2011069266923172
66,2024-03-07,0.8990007365968354,-0.00023120403858160202,0.1952793296304435
67,2024-03-08,0.8945882356895767,0.0019957277761872916,0.18962047110812089
68,2024-03-09,0.8963433722150161,0.002096815872570426,0.1798724827557542
69,2024-03-10,0.8981612799144404,0.0022197519369150944,0.17008689252476067
70,2024-03-11,0.8999652391624173,0.002323343127875207,0.1603106700875328
71,2024-03-12,0.9018561765904263,0.002448027303620706,0.1504671935926439
72,2024-03-13,0.9037829466499736,0.002539334477666343,0.14060593402250127
73,2024-03-14,0.8996794331237916,0.000554930628693001,0.13489012502683945
74,2024-03-15,0.9016279889755978,0.0006825453015847536,0.1250187318381082
75,2024-03-16,0.9036590641168183,0.000809628021391544,0.11510396309793498
